"","adm1_en","adm2_en","variable","value"
"336","Khyber Pakhtunkhwa","Shangla","girls_middle_str",1.48925426300205
"337","Khyber Pakhtunkhwa","South Waziristan","girls_middle_str",NA
"338","Khyber Pakhtunkhwa","Swabi","girls_middle_str",0.68186911
"339","Khyber Pakhtunkhwa","Swat","girls_middle_str",0.622534245092606
"340","Khyber Pakhtunkhwa","Tank","girls_middle_str",0.993435792691638
"341","Khyber Pakhtunkhwa","Tor Ghar","girls_middle_str",NA
"342","Khyber Pakhtunkhwa","Upper Dir","girls_middle_str",1.60699229754772
"343","Khyber Pakhtunkhwa","Abbottabad","girls_high_str",0.572573596388651
"344","Khyber Pakhtunkhwa","Bajaur","girls_high_str",NA
"345","Khyber Pakhtunkhwa","Bannu","girls_high_str",0.661771959048267
"346","Khyber Pakhtunkhwa","Batagram","girls_high_str",3.52316830676618
"347","Khyber Pakhtunkhwa","Buner","girls_high_str",2.18001965733402
"348","Khyber Pakhtunkhwa","Charsadda","girls_high_str",1.23042126533247
"349","Khyber Pakhtunkhwa","Chitral","girls_high_str",1.61250165612423
"350","Khyber Pakhtunkhwa","Dera Ismail Khan","girls_high_str",0.517950210259153
"351","Khyber Pakhtunkhwa","FR Bannu","girls_high_str",NA
"352","Khyber Pakhtunkhwa","FR Dera Ismail Khan","girls_high_str",NA
"353","Khyber Pakhtunkhwa","FR Kohat","girls_high_str",NA
"354","Khyber Pakhtunkhwa","FR Lakki Marwat","girls_high_str",NA
"355","Khyber Pakhtunkhwa","FR Peshawar","girls_high_str",NA
"356","Khyber Pakhtunkhwa","FR Tank","girls_high_str",NA
"357","Khyber Pakhtunkhwa","Hangu","girls_high_str",5.68894334501902
"358","Khyber Pakhtunkhwa","Haripur","girls_high_str",0.671168304847322
"359","Khyber Pakhtunkhwa","Karak","girls_high_str",1.21493837196569
"360","Khyber Pakhtunkhwa","Khyber","girls_high_str",NA
"361","Khyber Pakhtunkhwa","Kohat","girls_high_str",1.02483132185345
"362","Khyber Pakhtunkhwa","Kohistan","girls_high_str",12.125
"363","Khyber Pakhtunkhwa","Kurram","girls_high_str",NA
"364","Khyber Pakhtunkhwa","Lakki Marwat","girls_high_str",1.74546422023991
"365","Khyber Pakhtunkhwa","Lower Dir","girls_high_str",1.24905991581351
"366","Khyber Pakhtunkhwa","Malakand PA","girls_high_str",1.35784117621937
"367","Khyber Pakhtunkhwa","Mansehra","girls_high_str",0.626373133902166
"368","Khyber Pakhtunkhwa","Mardan","girls_high_str",0.726452775332908
"369","Khyber Pakhtunkhwa","Mohmand","girls_high_str",NA
"370","Khyber Pakhtunkhwa","North Waziristan","girls_high_str",NA
"371","Khyber Pakhtunkhwa","Nowshera","girls_high_str",1.29794795130273
"372","Khyber Pakhtunkhwa","Orakzai","girls_high_str",NA
